                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8629,                 2.4881,                 1.2232,                0.68183,                0.59984,                0.62684,                0.40293,                 1.1877,                 2.5448,                 1.7131,             0.00047079,             0.00047079,             0.00047079
                      2,                0.67829,                 1.5702,                 1.0499,                0.66449,                0.67651,                0.58692,                0.44393,                 1.0812,                 2.6395,                 1.6296,             0.00094244,             0.00094244,             0.00094244
                      3,                0.69297,                 1.4091,                 1.0427,                0.77343,                0.80558,                 0.8537,                0.68657,                0.88101,                 2.9391,                 1.3626,              0.0014094,              0.0014094,              0.0014094
                      4,                0.68112,                 1.2325,                 1.0333,                  0.904,                0.71798,                0.79782,                0.65722,                 1.0437,                 1.8096,                 1.4649,              0.0014078,              0.0014078,              0.0014078
                      5,                0.70213,                 1.1213,                 1.0364,                0.93777,                0.77361,                0.78605,                0.68714,                 1.2007,                 1.6317,                 1.8145,              0.0014007,              0.0014007,              0.0014007
                      6,                0.66497,                 1.0512,                 1.0251,                 0.9463,                 0.7955,                 0.8237,                0.67046,                 1.0712,                 1.8246,                 1.5374,              0.0013936,              0.0013936,              0.0013936
                      7,                0.62782,                0.93859,                0.98459,                0.98516,                0.76111,                0.78234,                0.66729,                 1.0429,                 1.4903,                 1.5028,              0.0013866,              0.0013866,              0.0013866
                      8,                0.59219,                0.84608,                0.97718,                0.98981,                0.77361,                 0.7803,                 0.6701,                 1.0598,                 1.3118,                 1.4654,              0.0013795,              0.0013795,              0.0013795
                      9,                0.56725,                0.80042,                0.96655,                 0.9624,                0.75945,                 0.7791,                0.65524,                 1.0859,                 1.4036,                  1.535,              0.0013724,              0.0013724,              0.0013724
                     10,                0.54367,                0.73383,                0.95352,                0.93788,                0.77453,                0.79054,                0.68084,                 1.0821,                 1.4593,                 1.5343,              0.0013653,              0.0013653,              0.0013653
                     11,                0.54497,                0.74481,                0.95838,                0.92305,                0.73717,                0.76604,                0.66534,                  1.032,                 1.3002,                 1.5314,              0.0013583,              0.0013583,              0.0013583
                     12,                0.55717,                 0.6766,                0.96518,                0.98022,                0.79156,                0.80082,                 0.7069,                0.99484,                 1.0955,                 1.4201,              0.0013512,              0.0013512,              0.0013512
                     13,                0.51523,                0.61416,                0.94141,                0.99362,                0.77569,                 0.7881,                0.68655,                 1.0475,                 1.1512,                 1.5079,              0.0013441,              0.0013441,              0.0013441
                     14,                0.50692,                0.59639,                 0.9409,                0.99028,                0.77227,                0.79226,                0.69856,                0.94362,                 1.2181,                 1.5022,               0.001337,               0.001337,               0.001337
                     15,                0.52505,                0.59773,                 0.9581,                0.96636,                0.75557,                0.79761,                 0.6816,                 1.0207,                  1.634,                 1.6443,                0.00133,                0.00133,                0.00133
                     16,                0.52412,                0.60807,                0.96094,                0.96549,                0.74024,                0.78283,                0.68176,                  1.053,                 1.2362,                 1.5604,              0.0013229,              0.0013229,              0.0013229
                     17,                0.52528,                 0.5692,                0.96985,                0.92446,                0.71944,                0.76111,                0.64913,                 1.2399,                 1.2827,                 1.8154,              0.0013158,              0.0013158,              0.0013158
                     18,                0.51128,                0.55766,                0.94698,                0.90223,                0.76528,                0.75149,                0.66516,                 1.0768,                 1.4085,                 1.5761,              0.0013087,              0.0013087,              0.0013087
                     19,                0.48156,                0.49633,                0.93159,                0.88143,                0.75486,                0.76396,                0.68909,                 1.0029,                 1.3357,                 1.5138,              0.0013017,              0.0013017,              0.0013017
                     20,                0.47807,                0.51638,                0.92474,                0.93977,                0.70665,                0.77135,                0.69204,                0.91131,                 1.2149,                 1.4084,              0.0012946,              0.0012946,              0.0012946
                     21,                0.48826,                  0.527,                0.93357,                0.99287,                 0.7752,                 0.7857,                0.71664,                0.98045,                0.99624,                 1.4846,              0.0012875,              0.0012875,              0.0012875
                     22,                0.48958,                0.49202,                0.94666,                0.96857,                0.77463,                0.78023,                 0.7146,                0.97895,                 1.0451,                 1.4851,              0.0012805,              0.0012805,              0.0012805
                     23,                0.44722,                0.45606,                0.92234,                0.99676,                 0.7833,                0.81274,                0.73496,                0.88491,                0.92901,                 1.3686,              0.0012734,              0.0012734,              0.0012734
